Cost Category,Low,High
"CoFL Franchise entry fee (one-time, est.)",25000,50000
"Legal setup (LLC, contracts, IP, league agreements)",5000,10000
"Accounting setup (chart of accounts, payroll, books)",3000,5000
"Insurance binding & annual prepay (GL, D&O, accident)",25000,50000
"Branding / Identity (logo, mark, trademark search)",8000,20000
Website + ticketing platform setup,8000,15000
Equipment - Helmets (50 @ $500),25000,25000
Equipment - Shoulder pads (50 @ $300),15000,15000
"Equipment - Practice gear, sleds, blocking dummies",15000,30000
"Game uniforms (2 sets, 50 players)",17500,17500
"Practice uniforms (1 set, 50 players)",4000,4000
"Office setup (computers, software, furniture)",10000,25000
Initial marketing & launch campaign,25000,50000
WeFunder campaign filing & escrow setup,5000,10000
Stadium / facility deposits,5000,10000
Working capital reserve (3 months opex),100000,200000
