Cost Category,Low ($),High ($),Midpoint ($),Notes
"CoFL Franchise entry fee (one-time, est.)",25000,50000,37500,Estimate; confirm with league office; separate from $50K annual
"Legal setup (LLC, contracts, IP, league agreements)",5000,10000,7500,Per user instruction ($5K-$10K)
"Accounting setup (chart of accounts, payroll, books)",3000,5000,4000,Initial accounting infrastructure
"Insurance binding & annual prepay (GL, D&O, accident)",25000,50000,37500,Liability + accident coverage for players & spectators
"Branding / Identity (logo, mark, trademark search)",8000,20000,14000,Pro design + USPTO trademark filing
Website + ticketing platform setup,8000,15000,11500,"Site, e-commerce, ticketing integration"
Equipment - Helmets (50 @ $500),25000,25000,25000,Per breakeven workbook
Equipment - Shoulder pads (50 @ $300),15000,15000,15000,Per breakeven workbook
"Equipment - Practice gear, sleds, blocking dummies",15000,30000,22500,Practice infrastructure
"Game uniforms (2 sets, 50 players)",17500,17500,17500,Per breakeven workbook
"Practice uniforms (1 set, 50 players)",4000,4000,4000,Per breakeven workbook
"Office setup (computers, software, furniture)",10000,25000,17500,Front office infrastructure
Initial marketing & launch campaign,25000,50000,37500,Awareness drive Y1
WeFunder campaign filing & escrow setup,5000,10000,7500,Reg CF compliance + escrow
Stadium / facility deposits,5000,10000,7500,Refundable damage / use deposits
Working capital reserve (3 months opex),100000,200000,150000,Cash buffer through first season
